run_id,map_id,initial_boids,initial_predators,refuge_capacity,food_ratio,timestamp_sec,boids_alive,predators_alive
5,10,10,1,4,0.7,31.0,10,1
7,10,10,1,6,0.7,4.0,10,1
6,10,10,1,4,0.7,17.0,10,1
3,10,10,1,2,0.7,135.0,1,1
5,10,10,1,4,0.7,32.0,10,1
7,10,10,1,6,0.7,5.0,10,1
6,10,10,1,4,0.7,18.0,10,1
3,10,10,1,2,0.7,136.0,1,1
5,10,10,1,4,0.7,33.0,10,1
7,10,10,1,6,0.7,6.0,10,1
6,10,10,1,4,0.7,19.0,10,1
3,10,10,1,2,0.7,137.0,1,1
5,10,10,1,4,0.7,34.0,10,1
7,10,10,1,6,0.7,7.0,10,1
6,10,10,1,4,0.7,20.0,10,1
3,10,10,1,2,0.7,138.0,1,1
5,10,10,1,4,0.7,35.0,10,1
7,10,10,1,6,0.7,8.0,10,1
6,10,10,1,4,0.7,21.0,10,1
3,10,10,1,2,0.7,139.0,1,1
5,10,10,1,4,0.7,36.0,10,1
7,10,10,1,6,0.7,9.0,10,1
6,10,10,1,4,0.7,22.0,10,1
3,10,10,1,2,0.7,140.0,1,1
5,10,10,1,4,0.7,37.0,10,1
7,10,10,1,6,0.7,10.0,10,1
6,10,10,1,4,0.7,23.0,9,1
3,10,10,1,2,0.7,141.0,1,1
5,10,10,1,4,0.7,38.0,10,1
7,10,10,1,6,0.7,11.0,10,1
6,10,10,1,4,0.7,24.0,9,1
3,10,10,1,2,0.7,142.0,1,1
5,10,10,1,4,0.7,39.0,10,1
7,10,10,1,6,0.7,12.0,10,1
6,10,10,1,4,0.7,25.0,9,1
3,10,10,1,2,0.7,143.0,1,1
5,10,10,1,4,0.7,40.0,10,1
7,10,10,1,6,0.7,13.0,10,1
6,10,10,1,4,0.7,26.0,9,1
3,10,10,1,2,0.7,144.0,1,1
5,10,10,1,4,0.7,41.0,10,1
7,10,10,1,6,0.7,14.0,9,1
6,10,10,1,4,0.7,27.0,9,1
3,10,10,1,2,0.7,145.0,1,1
5,10,10,1,4,0.7,42.0,10,1
7,10,10,1,6,0.7,15.0,9,1
6,10,10,1,4,0.7,28.0,9,1
3,10,10,1,2,0.7,146.0,1,1
5,10,10,1,4,0.7,43.0,10,1
7,10,10,1,6,0.7,16.0,9,1
6,10,10,1,4,0.7,29.0,9,1
3,10,10,1,2,0.7,147.0,1,1
5,10,10,1,4,0.7,44.0,10,1
7,10,10,1,6,0.7,17.0,9,1
6,10,10,1,4,0.7,30.0,9,1
3,10,10,1,2,0.7,148.0,1,1
5,10,10,1,4,0.7,45.0,10,1
7,10,10,1,6,0.7,18.0,9,1
6,10,10,1,4,0.7,31.0,9,1
3,10,10,1,2,0.7,149.0,1,1
5,10,10,1,4,0.7,46.0,10,1
7,10,10,1,6,0.7,19.0,9,1
6,10,10,1,4,0.7,32.0,9,1
3,10,10,1,2,0.7,150.0,1,1
5,10,10,1,4,0.7,47.0,10,1
7,10,10,1,6,0.7,20.0,9,1
6,10,10,1,4,0.7,33.0,9,1
3,10,10,1,2,0.7,151.0,1,1
5,10,10,1,4,0.7,48.0,10,1
7,10,10,1,6,0.7,21.0,9,1
6,10,10,1,4,0.7,34.0,9,1
3,10,10,1,2,0.7,152.0,1,1
5,10,10,1,4,0.7,49.0,10,1
7,10,10,1,6,0.7,22.0,9,1
6,10,10,1,4,0.7,35.0,9,1
3,10,10,1,2,0.7,153.0,1,1
5,10,10,1,4,0.7,50.0,10,1
7,10,10,1,6,0.7,23.0,9,1
6,10,10,1,4,0.7,36.0,9,1
3,10,10,1,2,0.7,153.55,1,0
8,10,10,1,6,0.7,0.0,10,1
5,10,10,1,4,0.7,51.0,10,1
7,10,10,1,6,0.7,24.0,9,1
6,10,10,1,4,0.7,37.0,9,1
8,10,10,1,6,0.7,1.0,10,1
5,10,10,1,4,0.7,52.0,10,1
